Equipo ID,Estudiante ID,Nota Estudiante,Rol Dominante,Coordinador,Investigador de Recursos,Trabajador,Monitor Evaluador,Impulsor,Finalizador,Especialista,Cohesionador,Creativo
309,47,1.1,Investigador de Recursos,7.0,13.0,8.0,11.0,8.0,4.0,6.0,6.0,6.0
165,48,2.2,Impulsor,9.0,6.0,5.0,7.0,12.0,11.0,7.0,5.0,8.0
184,49,3.7,Investigador de Recursos,6.0,13.0,3.0,12.0,7.0,7.0,9.0,10.0,3.0
498,50,1.0,Trabajador,5.0,3.0,11.0,9.0,10.0,9.0,10.0,5.0,8.0
223,51,3.7,Especialista,10.0,5.0,4.0,3.0,11.0,7.0,14.0,11.0,6.0
335,52,1.2,Finalizador,6.0,7.0,8.0,9.0,7.0,11.0,5.0,9.0,4.0
165,53,3.2,Monitor Evaluador,4.0,7.0,5.0,12.0,10.0,7.0,7.0,8.0,8.0
437,54,2.4,Coordinador,10.0,7.0,8.0,9.0,8.0,3.0,9.0,4.0,9.0
374,55,3.9,Investigador de Recursos,6.0,13.0,7.0,8.0,12.0,7.0,6.0,3.0,7.0
31,56,0.9,Finalizador,9.0,11.0,5.0,5.0,5.0,12.0,4.0,7.0,7.0
320,57,1.5,Coordinador,13.0,10.0,3.0,8.0,5.0,8.0,4.0,10.0,7.0
194,58,4.8,Especialista,8.0,8.0,11.0,2.0,3.0,8.0,12.0,11.0,8.0
468,59,1.1,Especialista,4.0,7.0,5.0,8.0,8.0,6.0,11.0,7.0,7.0
323,60,2.5,Coordinador,17.0,3.0,9.0,9.0,4.0,6.0,8.0,6.0,4.0
214,61,0.8,Cohesionador,4.0,7.0,10.0,7.0,7.0,7.0,6.0,13.0,7.0
105,62,3.0,Impulsor,6.0,6.0,8.0,10.0,13.0,10.0,6.0,4.0,3.0
259,63,1.5,Impulsor,8.0,8.0,7.0,3.0,9.0,9.0,9.0,7.0,8.0
479,64,5.0,Creativo,9.0,7.0,9.0,8.0,4.0,7.0,8.0,7.0,10.0
474,65,2.3,Coordinador,13.0,7.0,7.0,11.0,4.0,5.0,11.0,4.0,9.0
413,66,0.1,Investigador de Recursos,8.0,10.0,5.0,10.0,7.0,8.0,8.0,4.0,7.0
425,67,4.8,Trabajador,7.0,7.0,11.0,8.0,6.0,8.0,8.0,8.0,6.0
326,68,2.9,Cohesionador,8.0,3.0,2.0,7.0,3.0,9.0,13.0,14.0,7.0
402,69,0.6,Impulsor,3.0,9.0,3.0,10.0,14.0,2.0,9.0,13.0,6.0
34,70,4.7,Coordinador,12.0,7.0,5.0,8.0,3.0,7.0,10.0,11.0,5.0
205,71,3.0,Investigador de Recursos,6.0,15.0,7.0,9.0,4.0,5.0,5.0,9.0,8.0
199,72,3.2,Trabajador,6.0,4.0,10.0,4.0,10.0,7.0,7.0,9.0,10.0
112,73,0.1,Impulsor,6.0,5.0,6.0,7.0,11.0,9.0,5.0,8.0,7.0
19,74,0.2,Coordinador,11.0,4.0,10.0,8.0,10.0,6.0,7.0,10.0,3.0
409,75,4.1,Especialista,8.0,6.0,9.0,7.0,7.0,8.0,13.0,8.0,8.0
323,76,3.6,Cohesionador,5.0,8.0,9.0,2.0,4.0,9.0,9.0,10.0,10.0
458,77,2.4,Cohesionador,6.0,5.0,6.0,10.0,6.0,7.0,9.0,11.0,8.0
358,78,4.2,Finalizador,7.0,8.0,5.0,5.0,10.0,12.0,6.0,5.0,8.0
17,79,4.7,Creativo,10.0,7.0,9.0,9.0,4.0,6.0,6.0,5.0,14.0
150,80,0.3,Monitor Evaluador,3.0,7.0,2.0,16.0,8.0,7.0,8.0,6.0,9.0
418,81,4.8,Investigador de Recursos,9.0,13.0,8.0,5.0,9.0,4.0,10.0,10.0,3.0
77,82,2.7,Finalizador,6.0,3.0,5.0,9.0,6.0,14.0,8.0,6.0,11.0
35,83,4.7,Impulsor,0.0,5.0,5.0,10.0,13.0,8.0,6.0,10.0,6.0
107,84,3.6,Trabajador,5.0,9.0,11.0,9.0,6.0,10.0,9.0,4.0,7.0
83,85,1.1,Monitor Evaluador,7.0,4.0,10.0,14.0,4.0,11.0,8.0,7.0,5.0
6,86,4.1,Monitor Evaluador,4.0,7.0,9.0,18.0,7.0,6.0,8.0,3.0,8.0
185,87,1.0,Investigador de Recursos,6.0,10.0,9.0,8.0,10.0,7.0,6.0,3.0,10.0
258,88,2.8,Creativo,9.0,5.0,8.0,4.0,6.0,1.0,9.0,9.0,12.0
72,89,0.5,Trabajador,8.0,7.0,10.0,10.0,8.0,6.0,5.0,7.0,7.0
385,90,1.1,Impulsor,9.0,9.0,8.0,6.0,11.0,10.0,4.0,6.0,7.0
132,91,2.7,Investigador de Recursos,5.0,11.0,7.0,11.0,7.0,4.0,6.0,11.0,5.0
138,92,0.7,Cohesionador,5.0,9.0,3.0,9.0,6.0,7.0,7.0,13.0,10.0
224,93,4.6,Coordinador,10.0,7.0,5.0,9.0,7.0,8.0,8.0,6.0,5.0
325,94,0.8,Finalizador,9.0,2.0,8.0,6.0,7.0,13.0,4.0,13.0,8.0
414,95,5.0,Investigador de Recursos,10.0,11.0,10.0,10.0,5.0,6.0,6.0,7.0,1.0
462,96,3.3,Coordinador,11.0,5.0,9.0,5.0,4.0,5.0,11.0,7.0,11.0
494,97,1.8,Creativo,8.0,8.0,9.0,5.0,6.0,4.0,10.0,9.0,12.0
275,98,2.8,Monitor Evaluador,9.0,8.0,7.0,11.0,8.0,7.0,8.0,5.0,8.0
108,99,0.2,Impulsor,5.0,5.0,8.0,5.0,17.0,8.0,6.0,7.0,4.0
377,100,1.2,Trabajador,5.0,11.0,12.0,7.0,4.0,6.0,7.0,8.0,10.0
396,101,2.5,Impulsor,9.0,11.0,5.0,5.0,12.0,5.0,9.0,8.0,9.0
274,102,1.3,Coordinador,11.0,7.0,8.0,7.0,9.0,4.0,4.0,7.0,9.0
270,103,1.1,Finalizador,8.0,6.0,3.0,9.0,7.0,12.0,8.0,7.0,10.0
44,104,0.8,Trabajador,7.0,8.0,14.0,13.0,8.0,5.0,2.0,6.0,7.0
463,105,3.4,Impulsor,9.0,4.0,9.0,8.0,14.0,7.0,5.0,6.0,4.0
298,106,0.2,Monitor Evaluador,9.0,7.0,5.0,13.0,7.0,12.0,2.0,5.0,7.0
222,107,4.5,Especialista,10.0,8.0,5.0,4.0,8.0,6.0,13.0,4.0,10.0
300,108,1.4,Creativo,10.0,7.0,9.0,2.0,7.0,8.0,6.0,10.0,11.0
147,109,1.6,Impulsor,12.0,2.0,6.0,10.0,13.0,8.0,8.0,2.0,8.0
476,110,3.6,Finalizador,4.0,6.0,12.0,5.0,8.0,15.0,4.0,6.0,7.0
25,111,1.3,Finalizador,6.0,10.0,4.0,6.0,8.0,12.0,9.0,3.0,9.0
220,112,4.2,Coordinador,14.0,3.0,11.0,6.0,3.0,9.0,7.0,5.0,8.0
68,113,4.9,Creativo,7.0,5.0,7.0,10.0,8.0,5.0,6.0,8.0,13.0
376,114,0.4,Finalizador,8.0,9.0,7.0,4.0,6.0,10.0,7.0,10.0,2.0
265,115,0.4,Trabajador,8.0,8.0,11.0,5.0,9.0,6.0,8.0,5.0,6.0
108,116,1.3,Finalizador,9.0,5.0,3.0,10.0,9.0,11.0,5.0,9.0,8.0
349,117,4.4,Impulsor,8.0,10.0,8.0,5.0,11.0,7.0,7.0,5.0,7.0
159,118,3.7,Finalizador,6.0,6.0,8.0,5.0,8.0,13.0,10.0,6.0,7.0
156,119,3.4,Trabajador,10.0,5.0,12.0,8.0,6.0,6.0,8.0,8.0,2.0
55,120,0.5,Coordinador,15.0,3.0,7.0,4.0,7.0,6.0,14.0,10.0,3.0
347,121,3.0,Cohesionador,4.0,9.0,8.0,5.0,9.0,8.0,8.0,13.0,5.0
63,122,1.3,Finalizador,5.0,9.0,8.0,11.0,4.0,12.0,4.0,10.0,6.0
438,123,3.5,Trabajador,8.0,8.0,13.0,9.0,9.0,7.0,7.0,1.0,5.0
152,124,0.8,Monitor Evaluador,4.0,10.0,5.0,12.0,9.0,3.0,5.0,10.0,8.0
484,125,4.2,Impulsor,6.0,6.0,8.0,10.0,13.0,9.0,7.0,4.0,5.0
99,126,1.7,Monitor Evaluador,12.0,3.0,5.0,13.0,9.0,5.0,10.0,6.0,5.0
445,127,0.9,Cohesionador,4.0,2.0,7.0,5.0,6.0,5.0,11.0,15.0,11.0
134,128,3.5,Finalizador,7.0,9.0,6.0,3.0,7.0,14.0,12.0,4.0,7.0
71,129,3.4,Investigador de Recursos,6.0,12.0,4.0,5.0,11.0,6.0,8.0,12.0,5.0
91,130,3.4,Impulsor,1.0,4.0,11.0,7.0,15.0,8.0,13.0,6.0,5.0
343,131,0.7,Impulsor,4.0,5.0,5.0,9.0,13.0,8.0,9.0,5.0,11.0
380,132,0.3,Monitor Evaluador,9.0,7.0,8.0,10.0,9.0,10.0,7.0,8.0,6.0
25,133,2.8,Especialista,8.0,3.0,7.0,5.0,12.0,5.0,14.0,8.0,12.0
496,134,0.3,Especialista,10.0,8.0,6.0,6.0,4.0,9.0,11.0,9.0,4.0
423,135,0.2,Cohesionador,7.0,5.0,7.0,8.0,7.0,10.0,9.0,12.0,5.0
191,136,2.9,Trabajador,5.0,5.0,17.0,5.0,8.0,6.0,7.0,8.0,5.0
413,137,1.7,Coordinador,15.0,4.0,4.0,7.0,3.0,10.0,8.0,6.0,12.0
387,138,3.0,Creativo,7.0,4.0,6.0,9.0,7.0,8.0,7.0,8.0,12.0
246,139,1.4,Investigador de Recursos,5.0,12.0,6.0,9.0,8.0,8.0,6.0,6.0,9.0
409,140,4.4,Investigador de Recursos,6.0,16.0,6.0,9.0,5.0,8.0,10.0,7.0,5.0
187,141,2.8,Coordinador,11.0,9.0,8.0,10.0,6.0,8.0,3.0,9.0,8.0
453,142,4.5,Investigador de Recursos,8.0,9.0,9.0,8.0,9.0,9.0,4.0,9.0,2.0
146,143,3.1,Especialista,10.0,4.0,6.0,6.0,6.0,10.0,12.0,6.0,8.0
113,144,1.0,Creativo,2.0,8.0,8.0,8.0,10.0,10.0,5.0,4.0,13.0
155,145,0.7,Trabajador,9.0,7.0,12.0,5.0,8.0,8.0,6.0,4.0,7.0
133,146,3.1,Trabajador,8.0,10.0,13.0,8.0,6.0,6.0,2.0,5.0,8.0
460,147,2.1,Coordinador,13.0,9.0,9.0,10.0,2.0,5.0,5.0,8.0,4.0
473,148,1.2,Investigador de Recursos,8.0,14.0,7.0,11.0,6.0,8.0,6.0,4.0,8.0
283,149,0.7,Investigador de Recursos,7.0,11.0,5.0,9.0,6.0,4.0,10.0,7.0,10.0
107,150,0.0,Monitor Evaluador,5.0,5.0,5.0,11.0,10.0,7.0,6.0,11.0,7.0
323,151,2.1,Coordinador,10.0,5.0,8.0,9.0,8.0,7.0,7.0,5.0,8.0
482,152,0.9,Coordinador,13.0,7.0,8.0,8.0,8.0,5.0,6.0,7.0,8.0
347,153,4.8,Monitor Evaluador,5.0,11.0,6.0,12.0,3.0,4.0,8.0,9.0,9.0
470,154,2.0,Monitor Evaluador,7.0,6.0,4.0,10.0,10.0,7.0,7.0,7.0,6.0
359,155,3.0,Finalizador,4.0,7.0,6.0,6.0,9.0,16.0,6.0,8.0,6.0
218,156,4.2,Investigador de Recursos,5.0,11.0,7.0,7.0,11.0,6.0,10.0,5.0,6.0
229,157,2.6,Investigador de Recursos,7.0,15.0,6.0,4.0,10.0,7.0,8.0,6.0,9.0
241,158,2.9,Cohesionador,7.0,7.0,8.0,7.0,8.0,4.0,3.0,14.0,5.0
277,159,4.0,Coordinador,12.0,3.0,7.0,9.0,5.0,8.0,10.0,8.0,7.0
461,160,1.0,Cohesionador,6.0,5.0,8.0,4.0,13.0,6.0,3.0,15.0,10.0
125,161,0.0,Finalizador,11.0,5.0,7.0,3.0,4.0,12.0,7.0,11.0,8.0
11,162,3.2,Coordinador,13.0,10.0,11.0,10.0,4.0,2.0,6.0,7.0,6.0
64,163,1.4,Impulsor,4.0,7.0,9.0,4.0,15.0,8.0,9.0,9.0,6.0
30,164,4.7,Investigador de Recursos,5.0,15.0,6.0,4.0,6.0,7.0,6.0,8.0,10.0
27,165,3.6,Cohesionador,8.0,5.0,2.0,9.0,9.0,6.0,5.0,13.0,9.0
463,166,2.2,Finalizador,5.0,8.0,6.0,8.0,7.0,16.0,5.0,6.0,7.0
203,167,2.8,Trabajador,9.0,6.0,13.0,5.0,3.0,13.0,7.0,6.0,8.0
133,168,2.9,Coordinador,16.0,6.0,11.0,5.0,7.0,6.0,4.0,8.0,4.0
470,169,0.9,Coordinador,11.0,6.0,3.0,5.0,8.0,11.0,6.0,10.0,6.0
177,170,1.4,Monitor Evaluador,8.0,5.0,9.0,10.0,9.0,6.0,6.0,9.0,5.0
294,171,2.7,Especialista,8.0,8.0,3.0,8.0,8.0,9.0,10.0,7.0,6.0
471,172,3.4,Trabajador,6.0,8.0,9.0,8.0,7.0,8.0,8.0,8.0,6.0
175,173,3.5,Impulsor,7.0,9.0,1.0,10.0,16.0,6.0,5.0,6.0,9.0
54,174,2.2,Cohesionador,5.0,5.0,9.0,11.0,5.0,7.0,6.0,12.0,7.0
341,175,2.0,Impulsor,10.0,7.0,5.0,5.0,11.0,4.0,5.0,8.0,11.0
90,176,1.9,Impulsor,7.0,3.0,8.0,9.0,10.0,4.0,8.0,10.0,9.0
377,177,1.3,Impulsor,9.0,7.0,10.0,2.0,12.0,5.0,11.0,7.0,7.0
116,178,2.5,Cohesionador,8.0,7.0,9.0,6.0,7.0,8.0,5.0,12.0,7.0
338,179,4.3,Investigador de Recursos,8.0,9.0,8.0,9.0,9.0,8.0,6.0,8.0,3.0
425,180,1.1,Investigador de Recursos,8.0,15.0,5.0,7.0,5.0,4.0,9.0,7.0,7.0
186,181,1.6,Monitor Evaluador,4.0,7.0,9.0,10.0,4.0,7.0,7.0,9.0,10.0
210,182,2.9,Monitor Evaluador,7.0,4.0,9.0,11.0,10.0,7.0,5.0,5.0,10.0
28,183,3.1,Coordinador,14.0,5.0,6.0,10.0,9.0,8.0,2.0,6.0,7.0
147,184,2.2,Especialista,7.0,5.0,5.0,7.0,8.0,10.0,11.0,10.0,7.0
474,185,4.7,Impulsor,6.0,6.0,6.0,5.0,11.0,7.0,9.0,7.0,8.0
408,186,0.6,Trabajador,9.0,11.0,12.0,6.0,6.0,4.0,8.0,8.0,5.0
114,187,4.9,Finalizador,6.0,4.0,9.0,7.0,8.0,12.0,8.0,8.0,5.0
180,188,1.3,Finalizador,10.0,7.0,6.0,9.0,5.0,11.0,6.0,7.0,5.0
21,189,1.6,Investigador de Recursos,2.0,13.0,10.0,5.0,10.0,7.0,9.0,3.0,8.0
365,190,4.8,Trabajador,6.0,11.0,13.0,8.0,3.0,7.0,9.0,4.0,8.0
404,191,1.0,Trabajador,6.0,8.0,10.0,8.0,6.0,5.0,6.0,9.0,9.0
128,192,2.3,Especialista,5.0,6.0,4.0,10.0,7.0,6.0,18.0,5.0,6.0
35,193,4.0,Trabajador,7.0,6.0,19.0,11.0,4.0,2.0,7.0,2.0,10.0
77,194,0.5,Trabajador,9.0,6.0,12.0,8.0,8.0,4.0,8.0,7.0,6.0
178,195,5.0,Investigador de Recursos,7.0,9.0,9.0,7.0,7.0,5.0,6.0,7.0,8.0
112,196,0.2,Trabajador,6.0,8.0,14.0,7.0,11.0,4.0,7.0,5.0,4.0
283,197,0.9,Trabajador,8.0,5.0,12.0,9.0,11.0,6.0,3.0,6.0,9.0
165,198,3.4,Especialista,5.0,5.0,5.0,10.0,7.0,10.0,12.0,6.0,8.0
154,199,1.4,Finalizador,11.0,6.0,5.0,4.0,5.0,15.0,11.0,6.0,9.0
462,200,2.9,Trabajador,7.0,12.0,13.0,6.0,10.0,3.0,5.0,7.0,4.0
190,201,1.5,Cohesionador,8.0,10.0,5.0,11.0,6.0,6.0,4.0,12.0,6.0
128,202,0.6,Investigador de Recursos,3.0,11.0,3.0,4.0,7.0,10.0,11.0,6.0,9.0
1,203,0.7,Creativo,6.0,3.0,6.0,10.0,10.0,7.0,5.0,6.0,14.0
111,204,0.0,Coordinador,11.0,8.0,6.0,10.0,10.0,6.0,8.0,3.0,5.0
407,205,1.5,Cohesionador,7.0,9.0,6.0,7.0,8.0,7.0,7.0,13.0,7.0
469,206,4.3,Monitor Evaluador,7.0,7.0,8.0,12.0,7.0,4.0,9.0,3.0,6.0
336,207,4.8,Investigador de Recursos,1.0,12.0,5.0,12.0,8.0,7.0,8.0,8.0,2.0
473,208,4.9,Creativo,4.0,9.0,7.0,7.0,12.0,6.0,4.0,6.0,13.0
325,209,2.9,Impulsor,5.0,8.0,11.0,5.0,13.0,4.0,10.0,9.0,3.0
86,210,1.5,Monitor Evaluador,10.0,6.0,0.0,13.0,6.0,7.0,8.0,4.0,10.0
242,211,2.8,Creativo,5.0,3.0,7.0,9.0,2.0,8.0,6.0,9.0,17.0
185,212,3.3,Coordinador,12.0,5.0,7.0,7.0,9.0,8.0,9.0,12.0,5.0
278,213,4.0,Finalizador,5.0,6.0,8.0,9.0,7.0,11.0,6.0,11.0,3.0
249,214,0.2,Creativo,11.0,3.0,6.0,6.0,4.0,10.0,3.0,7.0,15.0
204,215,4.9,Coordinador,10.0,7.0,7.0,9.0,9.0,5.0,9.0,9.0,3.0
102,216,1.1,Monitor Evaluador,9.0,10.0,3.0,12.0,7.0,6.0,8.0,8.0,5.0
263,217,2.6,Especialista,8.0,9.0,3.0,7.0,7.0,6.0,11.0,6.0,9.0
115,218,2.3,Cohesionador,6.0,11.0,9.0,2.0,7.0,11.0,4.0,14.0,8.0
270,219,0.3,Coordinador,11.0,10.0,6.0,8.0,6.0,10.0,6.0,4.0,7.0
281,220,1.4,Coordinador,11.0,10.0,6.0,10.0,10.0,6.0,7.0,8.0,4.0
325,221,0.7,Monitor Evaluador,9.0,6.0,9.0,13.0,9.0,6.0,8.0,7.0,3.0
173,222,3.0,Monitor Evaluador,10.0,6.0,9.0,13.0,6.0,8.0,9.0,3.0,4.0
390,223,4.8,Creativo,8.0,7.0,4.0,10.0,5.0,9.0,7.0,8.0,11.0
31,224,1.9,Coordinador,10.0,8.0,8.0,7.0,10.0,4.0,7.0,7.0,6.0
195,225,0.7,Cohesionador,3.0,6.0,9.0,7.0,6.0,8.0,10.0,17.0,4.0
401,226,1.9,Impulsor,3.0,11.0,5.0,11.0,13.0,6.0,7.0,4.0,7.0
213,227,2.4,Creativo,9.0,5.0,10.0,6.0,8.0,4.0,10.0,7.0,11.0
409,228,4.7,Monitor Evaluador,8.0,7.0,7.0,11.0,6.0,10.0,8.0,5.0,4.0
318,229,2.1,Coordinador,12.0,7.0,10.0,3.0,6.0,7.0,6.0,8.0,11.0
194,230,0.8,Investigador de Recursos,7.0,11.0,4.0,8.0,5.0,7.0,8.0,8.0,9.0
99,231,2.5,Investigador de Recursos,4.0,11.0,4.0,6.0,9.0,6.0,10.0,9.0,9.0
66,232,3.2,Monitor Evaluador,9.0,4.0,8.0,12.0,12.0,6.0,8.0,4.0,5.0
444,233,0.7,Cohesionador,5.0,8.0,4.0,9.0,8.0,6.0,6.0,12.0,12.0
346,234,1.7,Coordinador,10.0,6.0,9.0,6.0,7.0,7.0,4.0,8.0,10.0
158,235,2.3,Investigador de Recursos,11.0,14.0,4.0,3.0,5.0,9.0,7.0,9.0,9.0
139,236,3.6,Monitor Evaluador,9.0,7.0,5.0,13.0,6.0,3.0,13.0,8.0,6.0
328,237,0.7,Investigador de Recursos,2.0,13.0,3.0,8.0,12.0,7.0,4.0,8.0,12.0
151,238,2.0,Monitor Evaluador,3.0,9.0,5.0,15.0,11.0,5.0,6.0,6.0,7.0
376,239,1.9,Investigador de Recursos,7.0,11.0,11.0,6.0,8.0,9.0,9.0,5.0,2.0
118,240,3.2,Trabajador,6.0,6.0,14.0,9.0,9.0,2.0,3.0,11.0,6.0
255,241,3.6,Creativo,8.0,9.0,8.0,4.0,6.0,5.0,10.0,9.0,13.0
56,242,4.1,Especialista,9.0,3.0,8.0,5.0,6.0,5.0,15.0,7.0,9.0
202,243,1.7,Creativo,5.0,9.0,6.0,8.0,3.0,8.0,9.0,10.0,12.0
141,244,2.2,Trabajador,5.0,6.0,11.0,8.0,8.0,7.0,6.0,9.0,7.0
189,245,0.2,Cohesionador,7.0,11.0,8.0,9.0,4.0,2.0,7.0,13.0,7.0
250,246,0.1,Finalizador,11.0,6.0,4.0,9.0,8.0,13.0,4.0,5.0,8.0
456,247,4.5,Impulsor,6.0,6.0,5.0,7.0,15.0,11.0,6.0,5.0,6.0
326,248,0.6,Finalizador,8.0,8.0,8.0,4.0,9.0,11.0,6.0,5.0,8.0
41,249,2.7,Investigador de Recursos,6.0,10.0,9.0,8.0,4.0,8.0,7.0,6.0,9.0
256,250,0.2,Monitor Evaluador,8.0,11.0,2.0,12.0,5.0,10.0,7.0,7.0,8.0
484,251,0.1,Trabajador,9.0,7.0,14.0,4.0,5.0,6.0,8.0,7.0,11.0
356,252,4.4,Trabajador,9.0,3.0,10.0,4.0,9.0,7.0,9.0,6.0,10.0
288,253,3.7,Trabajador,3.0,5.0,15.0,4.0,7.0,8.0,12.0,11.0,4.0
323,254,2.0,Investigador de Recursos,5.0,11.0,5.0,6.0,7.0,10.0,7.0,6.0,7.0
229,255,2.3,Coordinador,10.0,10.0,9.0,5.0,5.0,10.0,7.0,6.0,7.0
422,256,0.2,Trabajador,3.0,5.0,11.0,9.0,8.0,7.0,11.0,6.0,9.0
122,257,2.4,Monitor Evaluador,8.0,6.0,8.0,11.0,6.0,7.0,5.0,5.0,11.0
408,258,4.9,Investigador de Recursos,11.0,15.0,7.0,7.0,1.0,6.0,4.0,4.0,7.0
225,259,3.6,Finalizador,7.0,7.0,6.0,12.0,7.0,14.0,8.0,4.0,4.0
424,260,3.0,Investigador de Recursos,3.0,12.0,8.0,11.0,5.0,6.0,6.0,9.0,8.0
356,261,1.8,Cohesionador,9.0,8.0,7.0,4.0,7.0,5.0,10.0,12.0,7.0
394,262,3.4,Coordinador,12.0,6.0,8.0,9.0,4.0,7.0,6.0,7.0,11.0
23,263,2.7,Monitor Evaluador,9.0,10.0,4.0,13.0,7.0,4.0,10.0,8.0,3.0
134,264,4.3,Cohesionador,8.0,5.0,5.0,8.0,10.0,4.0,4.0,16.0,9.0
86,265,0.9,Coordinador,18.0,9.0,5.0,12.0,5.0,3.0,2.0,8.0,8.0
16,266,3.0,Coordinador,10.0,8.0,7.0,9.0,9.0,8.0,7.0,7.0,7.0
13,267,2.5,Creativo,4.0,6.0,9.0,6.0,10.0,5.0,10.0,5.0,12.0
359,268,3.3,Creativo,8.0,11.0,7.0,6.0,6.0,5.0,8.0,6.0,12.0
239,269,2.2,Trabajador,10.0,6.0,11.0,8.0,7.0,5.0,10.0,5.0,6.0
375,270,4.5,Finalizador,4.0,8.0,12.0,8.0,7.0,21.0,6.0,3.0,2.0
